freq,unit,age,sex,geo,value,year
A,YR,Y_LT1,F,BE35,82.8,2023
A,YR,Y_LT1,F,BG31,76.5,2012
A,YR,Y_LT1,F,BG31,77.6,2013
A,YR,Y_LT1,F,BG31,76.7,2014
A,YR,Y_LT1,F,BG31,77.2,2015
A,YR,Y_LT1,F,BG31,77.2,2016
A,YR,Y_LT1,F,BG31,77.1,2017
A,YR,Y_LT1,F,BG31,77.3,2018
A,YR,Y_LT1,F,BG31,77.5,2019
A,YR,Y_LT1,F,BG31,76,2020
A,YR,Y_LT1,F,BG31,73.8,2021
A,YR,Y_LT1,F,BG31,76.4,2022
A,YR,Y_LT1,F,BG31,78.2,2023
A,YR,Y_LT1,F,BG32,77.2,2012
A,YR,Y_LT1,F,BG32,78,2013
A,YR,Y_LT1,F,BG32,77.4,2014
A,YR,Y_LT1,F,BG32,77.7,2015
A,YR,Y_LT1,F,BG32,78.3,2016
A,YR,Y_LT1,F,BG32,77.8,2017
A,YR,Y_LT1,F,BG32,78.1,2018
A,YR,Y_LT1,F,BG32,78.2,2019
A,YR,Y_LT1,F,BG32,76.5,2020
A,YR,Y_LT1,F,BG32,73.7,2021
A,YR,Y_LT1,F,BG32,77,2022
A,YR,Y_LT1,F,BG32,79.3,2023
A,YR,Y_LT1,F,BG33,77.4,2012
A,YR,Y_LT1,F,BG33,78.6,2013
A,YR,Y_LT1,F,BG33,78,2014
A,YR,Y_LT1,F,BG33,77.9,2015
A,YR,Y_LT1,F,BG33,78.3,2016
A,YR,Y_LT1,F,BG33,78.1,2017
A,YR,Y_LT1,F,BG33,78.2,2018
A,YR,Y_LT1,F,BG33,78.6,2019
A,YR,Y_LT1,F,BG33,76.4,2020
A,YR,Y_LT1,F,BG33,74.3,2021
A,YR,Y_LT1,F,BG33,77.8,2022
A,YR,Y_LT1,F,BG33,79,2023
A,YR,Y_LT1,F,BG34,77.6,2012
A,YR,Y_LT1,F,BG34,78.1,2013
A,YR,Y_LT1,F,BG34,77.5,2014
A,YR,Y_LT1,F,BG34,77.6,2015
A,YR,Y_LT1,F,BG34,78.2,2016
A,YR,Y_LT1,F,BG34,78.1,2017
A,YR,Y_LT1,F,BG34,78,2018
A,YR,Y_LT1,F,BG34,78.3,2019
A,YR,Y_LT1,F,BG34,76.8,2020
A,YR,Y_LT1,F,BG34,74.2,2021
A,YR,Y_LT1,F,BG34,77.6,2022
A,YR,Y_LT1,F,BG34,79,2023
A,YR,Y_LT1,F,BG41,78.8,2012
A,YR,Y_LT1,F,BG41,79.1,2013
A,YR,Y_LT1,F,BG41,78.7,2014
A,YR,Y_LT1,F,BG41,79,2015
A,YR,Y_LT1,F,BG41,79.1,2016
A,YR,Y_LT1,F,BG41,79.2,2017
A,YR,Y_LT1,F,BG41,79.3,2018
A,YR,Y_LT1,F,BG41,79.6,2019
A,YR,Y_LT1,F,BG41,78.6,2020
A,YR,Y_LT1,F,BG41,76.2,2021
A,YR,Y_LT1,F,BG41,78.7,2022
A,YR,Y_LT1,F,BG41,80.7,2023
A,YR,Y_LT1,F,BG42,78.7,2012
A,YR,Y_LT1,F,BG42,79.3,2013
A,YR,Y_LT1,F,BG42,78.7,2014
A,YR,Y_LT1,F,BG42,78.5,2015
A,YR,Y_LT1,F,BG42,79.1,2016
A,YR,Y_LT1,F,BG42,78.9,2017
A,YR,Y_LT1,F,BG42,79.4,2018
A,YR,Y_LT1,F,BG42,79.4,2019
A,YR,Y_LT1,F,BG42,77.6,2020
A,YR,Y_LT1,F,BG42,75.4,2021
A,YR,Y_LT1,F,BG42,78.5,2022
A,YR,Y_LT1,F,BG42,80.1,2023
