nuts2_id,year,pop
DE14,2017,3669134
DE14,2018,3692560
DE14,2019,3713034
DE14,2020,3727932
DE14,2021,3734848
DE14,2022,3752110
DE14,2023,3775776
DE21,2000,8067286
DE21,2001,8166154
DE21,2002,8276804
DE21,2003,8339314
DE21,2004,8391346
DE21,2005,8422236
DE21,2006,8476390
DE21,2007,8558224
DE21,2008,8626892
DE21,2009,8670274
DE21,2010,8692930
DE21,2011,8627892
DE21,2012,8726352
DE21,2013,8831298
DE21,2014,8938684
DE21,2015,9039958
DE21,2016,9177888
DE21,2017,9266646
DE21,2018,9299068
DE21,2019,9372326
DE21,2020,9421730
DE21,2021,9439432
DE21,2022,9458486
DE21,2023,9410080
DE22,2000,2340340
DE22,2001,2352412
DE22,2002,2370934
DE22,2003,2382952
DE22,2004,2388944
DE22,2005,2392356
DE22,2006,2393846
DE22,2007,2387640
DE22,2008,2388276
DE22,2009,2383820
DE22,2010,2378388
DE22,2011,2344950
DE22,2012,2351846
DE22,2013,2362944
DE22,2014,2378306
DE22,2015,2395116
DE22,2016,2424238
DE22,2017,2438794
DE22,2018,2460074
DE22,2019,2477056
DE22,2020,2488338
DE22,2021,2494126
DE22,2022,2506882
DE22,2023,2488204
DE23,2000,2148676
DE23,2001,2158434
DE23,2002,2171218
DE23,2003,2177858
DE23,2004,2179652
DE23,2005,2180578
DE23,2006,2179086
DE23,2007,2175878
DE23,2008,2173368
DE23,2009,2167560
DE23,2010,2162834
DE23,2011,2142848
DE23,2012,2144182
DE23,2013,2149476
DE23,2014,2155982
DE23,2015,2165522
DE23,2016,2184678
DE23,2017,2196756
DE23,2018,2208814
DE23,2019,2218538
DE23,2020,2224204
DE23,2021,2224534
DE23,2022,2233482
