geo,year,pop
DE94,2019,2525333
DE94,2020,2533993
DE94,2021,2542666
DE94,2022,2554217
DE94,2023,2559680
DEA1,2014,5088748
DEA1,2015,5108290
DEA1,2016,5173623
DEA1,2017,5190790
DEA1,2018,5198820
DEA1,2019,5202321
DEA1,2020,5207457
DEA1,2021,5200090
DEA1,2022,5197679
DEA1,2023,5222540
DEA2,2014,4333015
DEA2,2015,4361724
DEA2,2016,4422371
DEA2,2017,4439416
DEA2,2018,4454228
DEA2,2019,4468904
DEA2,2020,4478847
DEA2,2021,4475530
DEA2,2022,4472956
DEA2,2023,4461422
DEA3,2014,2574148
DEA3,2015,2580664
DEA3,2016,2614229
DEA3,2017,2619376
DEA3,2018,2621153
DEA3,2019,2623619
DEA3,2020,2624625
DEA3,2021,2624719
DEA3,2022,2631237
DEA3,2023,2640307
DEA4,2014,2024392
DEA4,2015,2029648
DEA4,2016,2057996
DEA4,2017,2054205
DEA4,2018,2054343
DEA4,2019,2055310
DEA4,2020,2055724
DEA4,2021,2054178
DEA4,2022,2057480
DEA4,2023,2070052
DEA5,2014,3551553
DEA5,2015,3557772
DEA5,2016,3597297
DEA5,2017,3586313
DEA5,2018,3583590
DEA5,2019,3582497
DEA5,2020,3580568
DEA5,2021,3571053
DEA5,2022,3565239
DEA5,2023,3570099
DEB1,2014,1474378
DEB1,2015,1477202
DEB1,2016,1488308
DEB1,2017,1492187
DEB1,2018,1493055
DEB1,2019,1495885
DEB1,2020,1498223
DEB1,2021,1500830
DEB1,2022,1503189
DEB1,2023,1522385
DEB2,2014,519136
DEB2,2015,521863
DEB2,2016,532715
DEB2,2017,528728
DEB2,2018,529597
DEB2,2019,531007
DEB2,2020,533113
DEB2,2021,534438
DEB2,2022,536772
DEB2,2023,524876
DEB3,2014,2000852
DEB3,2015,2012517
DEB3,2016,2031780
DEB3,2017,2045138
DEB3,2018,2051027
DEB3,2019,2057952
DEB3,2020,2062567
DEB3,2021,2063123
DEB3,2022,2066524
DEB3,2023,2061294
DEC0,2014,990718
DEC0,2015,989035
DEC0,2016,995597
DEC0,2017,996651
DEC0,2018,994187
DEC0,2019,990509
DEC0,2020,986887
DEC0,2021,983991
DEC0,2022,982348
DEC0,2023,1011891
DED2,2014,1590927
DED2,2015,1592765
DED2,2016,1602754
DED2,2017,1600155
DED2,2018,1598573
DED2,2019,1598199
DED2,2020,1596566
DED2,2021,1589888
DED2,2022,1583267
DED2,2023,1588724
DED4,2014,1468954
DED4,2015,1463341
DED4,2016,1465612
DED4,2017,1454144
DED4,2018,1444953
DED4,2019,1436445
DED4,2020,1426380
DED4,2021,1413730
DED4,2022,1402126
DED4,2023,1397272
DED5,2014,986504
DED5,2015,999168
DED5,2016,1016485
DED5,2017,1027484
DED5,2018,1037782
DED5,2019,1043293
DED5,2020,1049025
DED5,2021,1053323
DED5,2022,1057609
DED5,2023,1063971
DEE0,2014,2244577
DEE0,2015,2235548
DEE0,2016,2245470
DEE0,2017,2236252
DEE0,2018,2223081
DEE0,2019,2208321
DEE0,2020,2194782
DEE0,2021,2180684
DEE0,2022,2169253
DEE0,2023,2150239
DEF0,2014,2815955
DEF0,2015,2830864
DEF0,2016,2858714
DEF0,2017,2881926
DEF0,2018,2889821
DEF0,2019,2896712
DEF0,2020,2903773
DEF0,2021,2910875
DEF0,2022,2922005
DEF0,2023,2939283
DEG0,2014,2160840
DEG0,2015,2156759
DEG0,2016,2170714
DEG0,2017,2158128
DEG0,2018,2151205
DEG0,2019,2143145
DEG0,2020,2133378
DEG0,2021,2120237
DEG0,2022,2108863
DEG0,2023,2118830
DK01,2014,1749405
DK01,2015,1768125
DK01,2016,1789174
DK01,2017,1807404
DK01,2018,1822659
DK01,2019,1835562
DK01,2020,1846023
DK01,2021,1855084
DK01,2022,1867948
DK01,2023,1891871
DK02,2014,816726
DK02,2015,820480
DK02,2016,827499
DK02,2017,832553
DK02,2018,835024
DK02,2019,836738
DK02,2020,837359
DK02,2021,838840
DK02,2022,843513
DK02,2023,849857
DK03,2014,1202509
DK03,2015,1205728
DK03,2016,1211770
DK03,2017,1217224
DK03,2018,1220763
DK03,2019,1223348
DK03,2020,1223105
DK03,2021,1223634
DK03,2022,1228362
DK03,2023,1237413
DK04,2014,1277538
DK04,2015,1282750
DK04,2016,1293309
DK04,2017,1304253
DK04,2018,1313596
DK04,2019,1320678
DK04,2020,1326340
DK04,2021,1332048
DK04,2022,1341857
DK04,2023,1358879
DK05,2014,581057
DK05,2015,582632
DK05,2016,585499
DK05,2017,587335
DK05,2018,589148
DK05,2019,589755
DK05,2020,589936
DK05,2021,590439
DK05,2022,591740
DK05,2023,594634
EE00,2014,1315819
EE00,2015,1314870
EE00,2016,1315944
EE00,2017,1315635
EE00,2018,1319133
EE00,2019,1324820
EE00,2020,1328976
EE00,2021,1330068
EE00,2022,1331796
EE00,2023,1365884
EFTA,2015,13769934
EFTA,2016,13911262
EFTA,2017,14054026
EFTA,2018,14166313
EFTA,2019,14268108
EFTA,2020,14376494
EFTA,2021,14469516
EFTA,2022,14579617
EFTA,2023,14731804
EL30,2014,3863763
EL30,2015,3822843
EL30,2016,3781274
EL30,2017,3773559
EL30,2018,3756453
EL30,2019,3742235
EL30,2020,3738901
EL30,2021,3736737
EL30,2022,3806550
EL30,2023,3795536
EL41,2014,198581
EL41,2015,197695
EL41,2016,196654
EL41,2017,203700
EL41,2018,211137
EL41,2019,221098
EL41,2020,229516
EL41,2021,229155
EL41,2022,195229
EL41,2023,194784
EL42,2014,334802
EL42,2015,334865
EL42,2016,334791
EL42,2017,338383
EL42,2018,340870
EL42,2019,344027
EL42,2020,347512
EL42,2021,347848
EL42,2022,327517
EL42,2023,326841
EL43,2014,630889
EL43,2015,631513
EL43,2016,631812
EL43,2017,632674
EL43,2018,633506
EL43,2019,634930
EL43,2020,636504
EL43,2021,636766
EL43,2022,623633
EL43,2023,622624
EL51,2014,608214
EL51,2015,606490
EL51,2016,604504
EL51,2017,602799
EL51,2018,601175
EL51,2019,599723
EL51,2020,598613
EL51,2021,594905
EL51,2022,560826
EL51,2023,558835
EL52,2014,1903360
EL52,2015,1893878
EL52,2016,1883339
EL52,2017,1880122
EL52,2018,1875996
EL52,2019,1873777
EL52,2020,1872102
EL52,2021,1858755
EL52,2022,1790686
EL52,2023,1782592
EL53,2014,278706
EL53,2015,276423
EL53,2016,273843
EL53,2017,271488
EL53,2018,269222
EL53,2019,267008
EL53,2020,264670
EL53,2021,262052
EL53,2022,253954
EL53,2023,250279
EL54,2014,341046
EL54,2015,339142
EL54,2016,336834
EL54,2017,335250
EL54,2018,334337
EL54,2019,333696
EL54,2020,333265
EL54,2021,330985
EL54,2022,319206
EL54,2023,318505
EL61,2014,737686
EL61,2015,733663
EL61,2016,729442
EL61,2017,725874
EL61,2018,722065
EL61,2019,718640
EL61,2020,715115
EL61,2021,709808
EL61,2022,686344
EL61,2023,681190
EL62,2014,207664
EL62,2015,207059
EL62,2016,206141
EL62,2017,205431
EL62,2018,204562
EL62,2019,203869
EL62,2020,203149
EL62,2021,202371
EL62,2022,204081
EL62,2023,202269
EL63,2014,677727
EL63,2015,673263
EL63,2016,668258
EL63,2017,663970
EL63,2018,659470
EL63,2019,655189
EL63,2020,651065
EL63,2021,646670
EL63,2022,646621
EL63,2023,642721
EL64,2014,559214
EL64,2015,557753
EL64,2016,555830
EL64,2017,555761
EL64,2018,555623
EL64,2019,555960
EL64,2020,556002
EL64,2021,553235
EL64,2022,507072
EL64,2023,503941
EL65,2014,585155
EL65,2015,583431
EL65,2016,581026
EL65,2017,579182
EL65,2018,576749
EL65,2019,574447
EL65,2020,572151
EL65,2021,569345
EL65,2022,538063
EL65,2023,533865
ES11,2014,2745817
ES11,2015,2732801
ES11,2016,2719095
ES11,2017,2708955
ES11,2018,2703048
ES11,2019,2700210
ES11,2020,2702605
ES11,2021,2698177
ES11,2022,2692829
ES11,2023,2699424
ES12,2014,1058560
ES12,2015,1049328
ES12,2016,1040407
ES12,2017,1033550
ES12,2018,1027091
ES12,2019,1021469
ES12,2020,1018053
ES12,2021,1012117
ES12,2022,1004960
ES12,2023,1006060
ES13,2014,587491
ES13,2015,585184
ES13,2016,582494
ES13,2017,581421
ES13,2018,581533
ES13,2019,581989
ES13,2020,583011
ES13,2021,584708
ES13,2022,585451
ES13,2023,588387
ES21,2014,2172247
ES21,2015,2172707
ES21,2016,2174426
ES21,2017,2179944
ES21,2018,2187254
ES21,2019,2197306
ES21,2020,2211917
ES21,2021,2212628
ES21,2022,2205828
ES21,2023,2216302
ES22,2014,637099
ES22,2015,637317
ES22,2016,638922
ES22,2017,642075
ES22,2018,646340
ES22,2019,652797
ES22,2020,659907
ES22,2021,662032
ES22,2022,664514
ES22,2023,672155
ES23,2014,315736
ES23,2015,314457
ES23,2016,314025
ES23,2017,314136
ES23,2018,314890
ES23,2019,315967
ES23,2020,318703
ES23,2021,319444
ES23,2022,319617
ES23,2023,322282
ES24,2014,1330713
ES24,2015,1325600
ES24,2016,1318042
ES24,2017,1315411
ES24,2018,1313493
ES24,2019,1320694
ES24,2020,1330592
ES24,2021,1331938
ES24,2022,1328217
ES24,2023,1341289
ES30,2014,6372553
ES30,2015,6375737
ES30,2016,6411466
ES30,2017,6459297
ES30,2018,6529923
ES30,2019,6618078
ES30,2020,6720310
ES30,2021,6726640
ES30,2022,6743273
ES30,2023,6871903
ES41,2014,2493604
ES41,2015,2475697
ES41,2016,2452721
ES41,2017,2433535
ES41,2018,2417013
ES41,2019,2405568
ES41,2020,2398976
ES41,2021,2385223
ES41,2022,2375586
ES41,2023,2383703
ES42,2014,2074760
ES42,2015,2062615
ES42,2016,2049336
ES42,2017,2041422
ES42,2018,2034409
ES42,2019,2036777
ES42,2020,2047969
ES42,2021,2052505
ES42,2022,2058284
ES42,2023,2084086
ES43,2014,1096708
ES43,2015,1092217
ES43,2016,1086153
ES43,2017,1079108
ES43,2018,1072721
ES43,2019,1067925
ES43,2020,1064970
ES43,2021,1061636
ES43,2022,1056808
ES43,2023,1054306
ES51,2014,7432833
ES51,2015,7420890
ES51,2016,7440692
ES51,2017,7480778
ES51,2018,7539364
ES51,2019,7624625
ES51,2020,7720323
ES51,2021,7749896
ES51,2022,7761864
ES51,2023,7901963
ES52,2014,4960213
ES52,2015,4945092
ES52,2016,4939888
ES52,2017,4943821
ES52,2018,4958584
ES52,2019,4989308
ES52,2020,5046482
ES52,2021,5067911
ES52,2022,5108127
ES52,2023,5216195
ES53,2014,1106617
ES53,2015,1111002
ES53,2016,1117353
ES53,2017,1128492
ES53,2018,1141233
ES53,2019,1157928
ES53,2020,1176816
ES53,2021,1183415
ES53,2022,1187043
ES53,2023,1209906
ES61,2014,8381239
ES61,2015,8388994
ES61,2016,8392046
ES61,2017,8394017
ES61,2018,8396464
ES61,2019,8412222
ES61,2020,8461039
ES61,2021,8484804
ES61,2022,8511185
ES61,2023,8584147
ES62,2014,1462734
ES62,2015,1465195
ES62,2016,1468367
ES62,2017,1475275
ES62,2018,1478718
ES62,2019,1491312
ES62,2020,1509077
ES62,2021,1518279
ES62,2022,1529662
ES62,2023,1551692
ES63,2014,84562
ES63,2015,84561
ES63,2016,84558
ES63,2017,85005
ES63,2018,85327
ES63,2019,85087
ES63,2020,84502
ES63,2021,84071
ES63,2022,83054
ES63,2023,83052
ES64,2014,84103
ES64,2015,85009
ES64,2016,85457
ES64,2017,85918
ES64,2018,86084
ES64,2019,86373
ES64,2020,86558
ES64,2021,86450
ES64,2022,84932
ES64,2023,85493
ES70,2014,2098155
ES70,2015,2101319
ES70,2016,2103436
ES70,2017,2115233
ES70,2018,2131581
ES70,2019,2153316
ES70,2020,2176240
ES70,2021,2178924
ES70,2022,2185609
ES70,2023,2213016
EU28,2015,507764420
EU28,2016,509366867
EU28,2017,510499671
EU28,2018,511560587
EU28,2019,512782741
FI19,2014,1374403
FI19,2015,1377281
FI19,2016,1379116
FI19,2017,1380593
FI19,2018,1380365
FI19,2019,1379749
FI19,2020,1378652
FI19,2021,1378851
FI19,2022,1382245
FI19,2023,1384761
FI1B,2014,1585473
FI1B,2015,1603388
FI1B,2016,1620261
FI1B,2017,1638293
FI1B,2018,1655624
FI1B,2019,1671024
FI1B,2020,1689725
FI1B,2021,1702678
FI1B,2022,1714741
FI1B,2023,1733033
FI1C,2014,1161882
FI1C,2015,1161706
FI1C,2016,1160491
FI1C,2017,1159174
FI1C,2018,1157001
FI1C,2019,1152719
FI1C,2020,1148794
FI1C,2021,1147484
FI1C,2022,1146312
FI1C,2023,1144473
FI1D,2014,1300846
FI1D,2015,1300462
FI1D,2016,1298457
FI1D,2017,1296023
FI1D,2018,1290651
FI1D,2019,1284638
FI1D,2020,1278237
FI1D,2021,1274651
FI1D,2022,1274599
FI1D,2023,1271344
FI20,2014,28666
FI20,2015,28916
FI20,2016,28983
FI20,2017,29214
FI20,2018,29489
FI20,2019,29789
FI20,2020,29884
FI20,2021,30129
FI20,2022,30344
FI20,2023,30359
FR10,2014,12027565
FR10,2015,12082144
FR10,2016,12117132
FR10,2017,12174880
FR10,2018,12213447
FR10,2019,12262544
FR10,2020,12271794
