nuts2_id,year,sex,pop
HU23,2015,F,433600
HU23,2016,F,430103
HU23,2017,F,427081
HU23,2018,F,423781
HU23,2019,F,420720
HU23,2020,F,418666
HU23,2021,F,417489
HU23,2022,F,413986
HU23,2023,F,411986
HU31,2000,F,621618
HU31,2001,F,619899
HU31,2002,F,616577
HU31,2003,F,612465
HU31,2004,F,608078
HU31,2005,F,603721
HU31,2006,F,599201
HU31,2007,F,594224
HU31,2008,F,587404
HU31,2009,F,580912
HU31,2010,F,574034
HU31,2011,F,567262
HU31,2012,F,570870
HU31,2013,F,566200
HU31,2014,F,560951
HU31,2015,F,556028
HU31,2016,F,551708
HU31,2017,F,547501
HU31,2018,F,544029
HU31,2019,F,540769
HU31,2020,F,538181
HU31,2021,F,535918
HU31,2022,F,532164
HU31,2023,F,528686
HU32,2000,F,752316
HU32,2001,F,751112
HU32,2002,F,748297
HU32,2003,F,745539
HU32,2004,F,742274
HU32,2005,F,739151
HU32,2006,F,734993
HU32,2007,F,731036
HU32,2008,F,725301
HU32,2009,F,719999
HU32,2010,F,715211
HU32,2011,F,709995
HU32,2012,F,718739
HU32,2013,F,714896
HU32,2014,F,711385
HU32,2015,F,709333
HU32,2016,F,707624
HU32,2017,F,705242
HU32,2018,F,702192
HU32,2019,F,697947
HU32,2020,F,694419
HU32,2021,F,691761
HU32,2022,F,686524
HU32,2023,F,683027
HU33,2000,F,659782
HU33,2001,F,657383
HU33,2002,F,653559
HU33,2003,F,650404
HU33,2004,F,647024
HU33,2005,F,644159
HU33,2006,F,640450
HU33,2007,F,637859
HU33,2008,F,634135
HU33,2009,F,629810
HU33,2010,F,626537
HU33,2011,F,621985
HU33,2012,F,616018
HU33,2013,F,612749
HU33,2014,F,608718
HU33,2015,F,605243
HU33,2016,F,602008
HU33,2017,F,597092
HU33,2018,F,593783
HU33,2019,F,590865
HU33,2020,F,588795
HU33,2021,F,585010
HU33,2022,F,581389
HU33,2023,F,578849
HUXX,2001,F,0
HUXX,2002,F,0
HUXX,2003,F,0
HUXX,2004,F,0
HUXX,2005,F,0
HUXX,2006,F,0
HUXX,2007,F,0
HUXX,2008,F,0
HUXX,2009,F,0
HUXX,2010,F,0
HUXX,2011,F,0
HUXX,2012,F,0
HUXX,2013,F,0
HUXX,2014,F,0
HUXX,2015,F,0
HUXX,2016,F,0
HUXX,2017,F,0
HUXX,2018,F,0
HUXX,2019,F,0
HUXX,2020,F,0
IE04,2012,F,416946
IE04,2013,F,417684
IE04,2014,F,416908
IE04,2015,F,416342
IE04,2016,F,418652
IE04,2017,F,424201
IE04,2018,F,428225
IE04,2019,F,432880
IE04,2020,F,438619
IE04,2021,F,443495
IE04,2022,F,449554
IE04,2023,F,461749
IE05,2012,F,771525
IE05,2013,F,775883
IE05,2014,F,778185
IE05,2015,F,777607
IE05,2016,F,782567
IE05,2017,F,793006
IE05,2018,F,802805
IE05,2019,F,816931
IE05,2020,F,827472
IE05,2021,F,832390
IE05,2022,F,844868
IE05,2023,F,860612
IE06,2012,F,1085528
IE06,2013,F,1089895
IE06,2014,F,1100757
IE06,2015,F,1119393
IE06,2016,F,1137922
IE06,2017,F,1157749
IE06,2018,F,1173360
IE06,2019,F,1197003
